id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Solar,2030,true,18.0,,-0.0
2,NL_Wind_Onshore,2030,true,49.0,,518.0
3,NL_Wind_Offshore,2030,true,49.0,,-0.0
4,NL_Coal,2030,true,824.0,,5.0
5,NL_Nuclear,2030,true,2095.0,,-0.0
6,NL_CCGT,2030,true,357.0,,11.0
7,NL_OCGT,2030,true,357.0,,2.0
8,NL_Battery,2030,false,100.0,,3.2932725300706807
9,BE_Solar,2030,true,18.0,,412.0
10,BE_Wind_Onshore,2030,true,49.0,,378.0
11,BE_Coal,2030,true,824.0,,3.0
12,BE_Nuclear,2030,true,2095.0,,-0.0
13,BE_CCGT,2030,true,357.0,,6.0
14,BE_OCGT,2030,true,357.0,,1.0
15,BE_Battery,2030,false,100.0,,0.10971694081277747
16,DE_Solar,2030,true,18.0,,2753.0
17,DE_Wind_Offshore,2030,true,49.0,,-0.0
18,DE_Coal,2030,true,824.0,,22.0
19,DE_Nuclear,2030,true,2095.0,,-0.0
20,DE_CCGT,2030,true,357.0,,18.0
21,DE_OCGT,2030,true,357.0,,19.0
22,DE_Battery,2030,false,100.0,,20.567523558620223
23,FR_Wind_Onshore,2030,true,49.0,,2323.0
24,FR_Wind_Offshore,2030,true,49.0,,-0.0
25,FR_Coal,2030,true,824.0,,7.0
26,FR_Nuclear,2030,true,2095.0,,-0.0
27,FR_OCGT,2030,true,357.0,,-0.0
28,FR_Battery,2030,false,100.0,,28.556619730283273
29,LU_Solar,2030,true,18.0,,178.0
30,LU_Wind_Onshore,2030,true,49.0,,-0.0
31,LU_Wind_Offshore,2030,true,49.0,,-0.0
32,LU_Coal,2030,true,824.0,,-0.0
33,LU_Nuclear,2030,true,2095.0,,-0.0
34,LU_CCGT,2030,true,357.0,,1.0
35,LU_OCGT,2030,true,357.0,,-0.0
36,LU_Battery,2030,false,100.0,,1.6441704407797153
37,CH_Solar,2030,true,18.0,,584.0
38,CH_Wind_Onshore,2030,true,49.0,,72.0
39,CH_Wind_Offshore,2030,true,49.0,,-0.0
40,CH_Coal,2030,true,824.0,,5.0
41,CH_Nuclear,2030,true,2095.0,,-0.0
42,CH_OCGT,2030,true,357.0,,3.0
43,UK_Solar,2030,true,18.0,,-0.0
44,UK_Coal,2030,true,824.0,,-0.0
45,UK_Nuclear,2030,true,2095.0,,-0.0
46,UK_CCGT,2030,true,357.0,,11.0
47,UK_OCGT,2030,true,357.0,,9.0
48,UK_Battery,2030,false,100.0,,18.10270007069422
49,DK_Solar,2030,true,18.0,,-0.0
50,DK_Coal,2030,true,824.0,,-0.0
