region;EU_objective_value;region_total_cost;region_operational_cost
NL;6.22784537657793e7;2.2045826710982863e6;400724.87836751423
BE;6.22784537657793e7;1.5897319839749474e6;247565.73223333343
DE;6.22784537657793e7;9.983807745191975e6;2.0179169647768445e6
FR;6.22784537657793e7;7.675545375384739e6;813894.3521429333
LU;6.22784537657793e7;144989.76989050486;25384.982440958265
CH;6.22784537657793e7;1.570724322792565e6;478619.56050026906
UK;6.22784537657793e7;4.542628455877619e6;533545.93372569
DK;6.22784537657793e7;846590.9998394861;110279.93803699018
NO;6.22784537657793e7;2.0145053603564026e6;160324.17863504056
IE;6.22784537657793e7;475331.9348189138;42204.8912146838
SE;6.22784537657793e7;2.6829801957615484e6;449405.4294783135
AT;6.22784537657793e7;1.6173156803379152e6;309019.4643387956
CZ;6.22784537657793e7;1.2504875277380676e6;240557.24405995852
PL;6.22784537657793e7;2.952181975792858e6;551065.5672230169
ES;6.22784537657793e7;5.752508896245983e6;1.0928964234626316e6
IT;6.22784537657793e7;8.183689214289769e6;3.067372314037041e6
LT;6.22784537657793e7;176542.53876976282;48669.89442963859
FI;6.22784537657793e7;2.0480388872967716e6;386373.7235602754
SI;6.22784537657793e7;277578.0219906772;80182.87854564632
HU;6.22784537657793e7;1.3348376773010087e6;360787.1228542278
SK;6.22784537657793e7;134835.27491743994;20157.030154191612
PT;6.22784537657793e7;1.227943104583913e6;211033.0325034417
HR;6.22784537657793e7;310727.1875066989;87689.6723823567
RO;6.22784537657793e7;1.0827310959020485e6;217463.20495214468
GR;6.22784537657793e7;975342.1060796255;222052.06578275285
LV;6.22784537657793e7;108293.09135770968;31428.654272570122
EE;6.22784537657793e7;123367.9578752045;16856.368172953215
MT;6.22784537657793e7;79030.11860835868;46985.134055274306
CY;6.22784537657793e7;160752.27993317766;67708.20452644958
BG;6.22784537657793e7;750832.3142653138;157017.77391221316
EU-Non-NL;6.22784537657793e7;6.0073871094681e7;1.209445773641062e7
